"DayOfWeek","Date Reported","Date Occurred","Time Occurred","Area ID","Reporting District","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","DR Number","MonthOccurred","HourOccurred","ReportingDelay"
2,2023-10-02 00:00:00,2023-10-02 00:00:00,930,20,2036,"3003 3026 3034 3037 4027 3101 3401 3701",65,"M","H",101,232016057,10,9,0
2,2023-10-04 00:00:00,2023-10-02 00:00:00,1637,21,2158,"3101 3037 3004 3026 4021 3029",40,"M","H",101,232114872,10,16,2
5,2023-09-28 00:00:00,2023-09-28 00:00:00,1320,1,123,"0605 3004 3028 3036 4024 3101 3401 3701 3033 3035",21,"M","H",101,230120760,9,13,0
4,2023-09-22 00:00:00,2023-09-13 00:00:00,1822,1,142,"3035 0605 3101 3401 3701 4016 3004 3037 3028 3030",73,"F","W",101,230120370,9,18,9
6,2023-08-05 00:00:00,2023-08-04 00:00:00,2340,18,1801,"4025 3004 3030",29,"F","H",101,231814535,8,23,1
6,2023-09-29 00:00:00,2023-09-29 00:00:00,730,2,233,"0605 3006 3028 3030 3037 3101 3401 3701 4024 3034",50,"M","W",101,230218267,9,7,0
3,2023-09-24 00:00:00,2023-09-19 00:00:00,2300,4,439,"0605 3101 3401 3701 4004 3004 3036 3029 3026 3033",23,"F","H",101,230412723,9,23,5
1,2023-09-25 00:00:00,2023-09-24 00:00:00,1,4,471,"0605 3011 3028 3034 3103 4024 3101 3401 3701 3036",76,"F","A",101,230412765,9,0,1
5,2023-09-28 00:00:00,2023-09-28 00:00:00,40,4,426,"0605 3101 3401 3701 4004 3003 1218 3037 3029 3026",63,"M","H",101,230412855,9,0,0
6,2023-09-29 00:00:00,2023-09-29 00:00:00,910,4,461,"0605 3004 3028 3037 3101 4024 3401 3701 3034 3033",39,"M","H",101,230412898,9,9,0
7,2023-09-30 00:00:00,2023-09-30 00:00:00,130,4,462,"0605 3004 3028 3030 3033 3036 3101 4004 3401 3701",27,"M","H",101,230412914,9,1,0
7,2023-09-24 00:00:00,2023-09-23 00:00:00,1030,2,237,"0605 3028 3034 4002 3101 3401 3701 3011 3037 3033",16,"F","O",101,230217952,9,10,1
6,2023-08-05 00:00:00,2023-08-04 00:00:00,2110,18,1801,"3004 3028 3030 4025",57,"F","B",101,231814516,8,21,1
3,2023-07-26 00:00:00,2023-07-25 00:00:00,2145,7,723,"3004 3026 3029 3033 3037 4027",33,"F","W",101,230712496,7,21,1
3,2023-07-26 00:00:00,2023-07-25 00:00:00,2310,5,532,"3006 3028 4005 3030",35,"M","H",101,230511513,7,23,1
5,2023-07-20 00:00:00,2023-07-20 00:00:00,1200,7,775,"3035 3037 3101 3401 3701 3028 3006 3030 4027",30,"M","H",101,230712249,7,12,0
5,2023-07-27 00:00:00,2023-07-27 00:00:00,600,7,734,"3006 3028 3030 4027 3035 3037 3101 3401 3701",45,"F","B",101,230712547,7,6,0
7,2023-07-28 00:00:00,2023-06-24 00:00:00,1117,6,643,"4027 3004 3028 3030",29,"F","W",101,230613105,6,11,34
6,2023-07-28 00:00:00,2023-07-28 00:00:00,1530,6,647,"4027 3004 3028 3034 3037 3101 3401 3701",40,"M","W",101,230613118,7,15,0
2,2023-07-11 00:00:00,2023-07-10 00:00:00,810,7,774,"3034 3037 3101 3401 3701 3004 3028 3030 4007",51,"M","B",101,230711844,7,8,1
4,2023-07-18 00:00:00,2023-07-12 00:00:00,217,7,769,"3006 3028 3030 4007",22,"M","B",101,230712147,7,2,6
6,2023-07-28 00:00:00,2023-01-13 00:00:00,731,7,783,"4027 3006 3028 3030 3037",41,"M","H",101,230712571,1,7,196
3,2023-07-18 00:00:00,2023-07-18 00:00:00,1506,8,812,"3034 3037 3101 3401 3701 3004 3028 4027",26,"M","H",101,230812114,7,15,0
3,2023-07-25 00:00:00,2023-07-25 00:00:00,1115,8,855,"3035 3036 3101 3401 3701 3003 3024 4027",71,"M","O",101,230812500,7,11,0
4,2023-07-20 00:00:00,2023-07-19 00:00:00,1135,9,929,"3602 3101 3004 3026 4026 3036",21,"F","H",101,230911947,7,11,1
1,2023-07-19 00:00:00,2023-07-09 00:00:00,945,10,1061,"3003 3101 3028 4010",74,"M","O",101,231011494,7,9,10
6,2023-07-29 00:00:00,2023-07-28 00:00:00,2230,5,504,"3004 3026 4005 3029 3036",20,"M","A",101,230511656,7,22,1
5,2023-09-15 00:00:00,2023-09-14 00:00:00,600,5,509,"3011 3028 3039 4025",22,"M","O",101,230513538,9,6,1
5,2023-09-22 00:00:00,2023-09-21 00:00:00,840,5,524,"3004 3025 4025 3029",40,"F","B",101,230513780,9,8,1
1,2023-09-14 00:00:00,2023-05-14 00:00:00,2045,6,666,"4027 3004 3028 3030",47,"M","W",101,230615247,5,20,123
2,2023-09-25 00:00:00,2023-09-25 00:00:00,205,6,636,"3003 3035 4006 3101 3401 3701",36,"M","B",101,230615701,9,2,0
4,2023-09-27 00:00:00,2023-09-27 00:00:00,1335,5,565,"3036 3003 3024 3101",71,"F","W",101,230514007,9,13,0
1,2023-09-27 00:00:00,2023-09-24 00:00:00,1645,5,509,"3004 3024 3036 4025",73,"M","W",101,230514032,9,16,3
7,2023-08-12 00:00:00,2023-08-12 00:00:00,1240,5,516,"3027 3601 3004 3036 4025",80,"F","H",101,230512227,8,12,0
1,2023-09-05 00:00:00,2023-07-16 00:00:00,1825,7,777,"3004 3035 3037 4027 3026 3101 3401 3701",39,"F","H",101,230714201,7,18,51
2,2023-09-19 00:00:00,2023-09-18 00:00:00,1500,7,764,"3004 3026 3029 4027 3035 3037 3101 3401 3701",70,"M","W",101,230714821,9,15,1
6,2023-09-22 00:00:00,2023-09-22 00:00:00,540,7,766,"3036 3101 3401 3701 3004 3026 3029 4027",48,"M","H",101,230714922,9,5,0
6,2023-09-09 00:00:00,2023-09-08 00:00:00,2010,8,851,"3003 3026 3029 4027 3033 3035 3037 3101 3401 3701",42,"M","W",101,230814271,9,20,1
4,2023-09-27 00:00:00,2023-09-27 00:00:00,1350,8,835,"3004 3024 4027 3036 3101 3401 3701 3035",42,"M","O",101,230814985,9,13,0
5,2023-09-28 00:00:00,2023-09-28 00:00:00,120,9,914,"3037 3101 3003 3026 4026 3029",62,"M","W",101,230914645,9,1,0
1,2023-09-24 00:00:00,2023-09-24 00:00:00,720,10,1027,"3011 3028 4026 3034 3037 3101",99,"X","X",101,231014086,9,7,0
4,2023-09-27 00:00:00,2023-09-27 00:00:00,1045,10,1021,"3004 3025 4026 3034 3036 3101",22,"M","O",101,231014189,9,10,0
3,2023-09-27 00:00:00,2023-09-26 00:00:00,1200,10,1017,"3004 3026 4010 3029 3036 3101",43,"M","H",101,231014206,9,12,1
3,2023-09-26 00:00:00,2023-09-26 00:00:00,737,9,952,"3037 3101 3003 3026 4026 3029",12,"F","H",101,230914575,9,7,0
3,2023-09-19 00:00:00,2023-09-19 00:00:00,1600,8,892,"4027 3004 3028 3035 3039 1402 3037 3101 3401 3701",58,"F","A",101,230814667,9,16,0
3,2023-09-26 00:00:00,2023-09-26 00:00:00,910,9,943,"3101 3004 3025 4026 3029 3037",35,"M","W",101,230914574,9,9,0
3,2023-09-28 00:00:00,2023-09-26 00:00:00,1212,8,849,"4027 3006 3028 3030",28,"F","W",101,230815021,9,12,2
4,2023-09-13 00:00:00,2023-04-26 00:00:00,1640,7,734,"4027 3004 3030 3028",29,"M","O",101,230714549,4,16,140
1,2023-09-25 00:00:00,2023-09-24 00:00:00,2250,11,1134,"0605 3006 3028 3030 4011 3101 3401 3701 3037 3033",32,"F","H",101,231113797,9,22,1
4,2023-09-29 00:00:00,2023-09-27 00:00:00,1630,11,1118,"3024 4011 0605 3101 3401 3701 3016 3037 3033 3035",25,"M","H",101,231113983,9,16,2
1,2023-09-10 00:00:00,2023-09-10 00:00:00,100,13,1333,"0605 3006 4013 3101 3401 3701 3037 3028 3030 3033",21,"M","H",101,231317031,9,1,0
1,2023-09-18 00:00:00,2023-09-17 00:00:00,2220,13,1361,"0605 3028 3030 3037 3039 3101 4024 3401 3701 3004",22,"F","H",101,231317481,9,22,1
2,2023-09-19 00:00:00,2023-09-11 00:00:00,1946,13,1394,"0605 3004 3026 3029 3101 4024 3401 3701 3037 3033",62,"F","O",101,231317559,9,19,8
3,2023-09-20 00:00:00,2023-09-19 00:00:00,645,13,1352,"4013 3004 3028 3030 0605 3101 3401 3701 3036 3033",59,"M","H",101,231317608,9,6,1
1,2023-09-25 00:00:00,2023-09-24 00:00:00,330,13,1372,"0605 3006 3028 3030 4013 3101 3401 3701 3037 3033",21,"M","H",101,231317851,9,3,1
2,2023-09-26 00:00:00,2023-09-25 00:00:00,2100,13,1391,"0605 3401 3701 4012 3008 3025 3029 3033 3036 3101",65,"M","B",101,231317888,9,21,1
3,2023-09-26 00:00:00,2023-09-26 00:00:00,1605,13,1365,"0605 3004 3028 3030 3033 3036 3101 4013 3401 3701",39,"F","B",101,231317937,9,16,0
4,2023-09-30 00:00:00,2023-09-20 00:00:00,1523,13,1341,"3004 3026 4013 0605 3101 3401 3701 3036 3033 3035",24,"M","W",101,231318108,9,15,10
1,2023-09-24 00:00:00,2023-09-24 00:00:00,1420,15,1523,"3004 3026 4026 3034 3036 3101",47,"M","W",101,231515263,9,14,0
7,2023-09-30 00:00:00,2023-09-30 00:00:00,310,12,1259,"3006 3028 4012 3030 3037",50,"M","B",101,231220463,9,3,0
7,2023-09-30 00:00:00,2023-09-30 00:00:00,940,13,1383,"0605 3006 3039 3101 4024 3401 3701 3037 3029 3033",22,"M","O",101,231318127,9,9,0
3,2023-09-26 00:00:00,2023-09-26 00:00:00,735,14,1432,"3004 3025 3033 3034 3037 4027",56,"F","B",101,231417845,9,7,0
1,2023-09-25 00:00:00,2023-09-24 00:00:00,1950,16,1622,"3011 3028 4026 3034 3037 3101",50,"M","H",101,231612442,9,19,1
2,2023-09-25 00:00:00,2023-09-25 00:00:00,400,16,1642,"3006 3028 4016 3030 3101",22,"M","O",101,231612449,9,4,0
5,2023-09-29 00:00:00,2023-09-28 00:00:00,2125,16,1601,"3003 3025 4026 3029 3037 3101",49,"F","H",101,231612562,9,21,1
3,2023-09-26 00:00:00,2023-09-26 00:00:00,1436,17,1793,"3006 3028 4026 3034 3037 3101",99,"M","O",101,231715687,9,14,0
3,2023-09-27 00:00:00,2023-09-26 00:00:00,1130,17,1797,"3011 3028 4026 3034 3037 3101",78,"M","H",101,231715741,9,11,1
5,2023-09-29 00:00:00,2023-09-21 00:00:00,1400,17,1701,"3006 3028 4026 3030 3032 3035 3037",43,"F","O",108,231715860,9,14,8
2,2023-08-09 00:00:00,2023-08-07 00:00:00,2130,18,1835,"4025 3004 3030",40,"F","H",101,231814715,8,21,2
5,2023-08-11 00:00:00,2023-08-10 00:00:00,630,18,1849,"3004 3028 4018",48,"M","W",101,231814837,8,6,1
6,2023-08-12 00:00:00,2023-08-11 00:00:00,1820,18,1804,"3004 3028 4018 3030 3602",28,"M","H",101,231814875,8,18,1
7,2023-08-20 00:00:00,2023-08-19 00:00:00,200,18,1842,"3003 3025 3029 1218 4018",35,"F","B",101,231815239,8,2,1
6,2023-09-23 00:00:00,2023-09-22 00:00:00,2020,16,1684,"3101 3003 3027 4026 3037",56,"M","W",101,231612389,9,20,1
5,2023-08-18 00:00:00,2023-08-17 00:00:00,2325,18,1801,"3004 3028 3030 4018",59,"M","H",101,231815149,8,23,1
3,2023-08-22 00:00:00,2023-08-22 00:00:00,335,18,1804,"3002 3006 3028 3034 4025",46,"M","H",101,231815332,8,3,0
2,2023-09-25 00:00:00,2023-09-25 00:00:00,1520,18,1822,"3011 3028 4025 3030",23,"M","H",101,231816949,9,15,0
3,2023-09-26 00:00:00,2023-09-26 00:00:00,1450,18,1822,"3004 3026 4025 3029",35,"M","H",101,231816994,9,14,0
3,2023-09-26 00:00:00,2023-09-26 00:00:00,1250,19,1913,"3004 4026 3034 3037 3028 3101",43,"M","H",101,231914658,9,12,0
7,2023-09-30 00:00:00,2023-09-30 00:00:00,30,19,1988,"3006 3028 4019 3033 3035 3037",41,"M","O",101,231914757,9,0,0
4,2023-09-27 00:00:00,2023-09-27 00:00:00,1025,20,2033,"3009 3033 3035 3037 4027 3701 3024 3101 3401",26,"M","H",101,232015903,9,10,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1140,7,784,"4027 3004 3028 3034 3037 3033 3101 3401 3701",47,"M","H",101,230715264,10,11,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1005,14,1497,"3003 3027 4027 1218 3035 3037 3101 3401 3701",43,"F","B",102,231418164,10,10,0
3,2023-08-29 00:00:00,2023-08-29 00:00:00,1200,18,1802,"3004 3026 3029 4025",28,"F","B",101,231815661,8,12,0
6,2023-09-30 00:00:00,2023-09-29 00:00:00,2005,12,1203,"3006 3026 4025",99,"M","O",101,231220507,9,20,1
1,2023-09-24 00:00:00,2023-09-24 00:00:00,1655,21,2148,"3011 3028 4026 3030 3034 3037 3101",54,"M","W",101,232114492,9,16,0
6,2023-09-23 00:00:00,2023-09-22 00:00:00,1700,18,1864,"3004 3026 3038 4025",52,"M","B",101,231816846,9,17,1
2,2023-09-19 00:00:00,2023-09-18 00:00:00,2020,20,2019,"3004 3029 3035 3036 3101 3401 3701 4020 3025",47,"F","H",101,232015594,9,20,1
4,2023-09-27 00:00:00,2023-09-27 00:00:00,1425,20,2017,"3002 3004 3028 3034 3037 4027 3101 3401 3701",25,"F","W",101,232015906,9,14,0
4,2023-10-04 00:00:00,2023-10-04 00:00:00,1800,15,1583,"3003 3028 4015 3030 3034 3037 3101",32,"M","H",101,231515700,10,18,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,900,4,402,"4024 3037 3028 3006 3101 3034 0605 3401 3701 3033",22,"X","X",101,230413004,10,9,0
7,2023-09-24 00:00:00,2023-09-23 00:00:00,2030,11,1136,"0605 3101 3401 3701 4011 3004 3037 3028 3030 3033",48,"M","H",101,231113771,9,20,1
1,2023-10-01 00:00:00,2023-10-01 00:00:00,300,12,1265,"3004 3024 4012 3036 3038",51,"M","B",101,231220561,10,3,0
4,2023-09-28 00:00:00,2023-09-27 00:00:00,2035,2,275,"0605 3009 3026 3029 3033 3037 3101 4024 3401 3701",53,"M","W",101,230218169,9,20,1
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1350,16,1611,"3008 3026 4026 3029 3037 3101",31,"M","H",101,231612679,10,13,0
7,2023-09-30 00:00:00,2023-09-30 00:00:00,1905,4,408,"0605 3004 3026 3029 3033 3037 3101 4024 3401 3701",37,"F","W",101,230412939,9,19,0
4,2023-08-02 00:00:00,2023-08-02 00:00:00,1600,2,256,"3401 3701 3033 0605 3004 3028 3034 3037 3101 4024",59,"M","H",101,230214921,8,16,0
6,2023-10-02 00:00:00,2023-08-18 00:00:00,1645,6,622,"4027 3011 3028 3030 3032",77,"F","W",116,230615980,8,16,45
3,2023-09-26 00:00:00,2023-09-26 00:00:00,1750,20,2017,"3003 3025 3035 3037 3102 3401 3701 4027",77,"F","H",108,232015871,9,17,0
3,2023-10-04 00:00:00,2023-10-03 00:00:00,1940,4,471,"0605 3004 3026 3029 3033 3037 3101 4024 3401 3701",45,"M","H",101,230413068,10,19,1
3,2023-10-04 00:00:00,2023-10-03 00:00:00,2020,19,1983,"3029 3004 3026 4019 3101",42,"M","H",101,231914904,10,20,1
5,2023-10-05 00:00:00,2023-10-05 00:00:00,800,19,1987,"3003 3025 4019 3029 3037 3101",10,"F","H",101,231914961,10,8,0
2,2023-09-29 00:00:00,2023-09-25 00:00:00,1340,15,1503,"3003 3025 4026 3029 3033 3035 3037 3064",35,"F","B",101,231515456,9,13,4
3,2023-10-03 00:00:00,2023-10-03 00:00:00,1030,10,1011,"3006 3025 3033 3035 3037",35,"M","H",101,231014396,10,10,0
1,2023-10-01 00:00:00,2023-10-01 00:00:00,805,9,926,"3006 3028 4026 3030 3037 3101",23,"M","O",101,230914763,10,8,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1053,15,1591,"3006 3028 4026 3037 3101",44,"M","O",101,231515579,10,10,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1420,9,941,"3003 4026 3029 3036 3025 3101",52,"F","W",101,230914813,10,14,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1150,1,153,"0605 3002 3028 3033 3034 3036 3101 4024 3401 3701",37,"M","H",101,230121019,10,11,0
3,2023-10-03 00:00:00,2023-10-03 00:00:00,2100,5,585,"3004 3025 4025 3029 3032 3036",17,"F","H",101,230514276,10,21,0
5,2023-09-29 00:00:00,2023-09-28 00:00:00,2110,8,882,"3003 4027 3024 3035 3036 3101 3401 3701",76,"M","W",101,230815037,9,21,1
7,2023-09-27 00:00:00,2023-09-23 00:00:00,215,6,645,"3006 3026 3029 4027 3033 3037 3101 3401 3701",39,"F","B",103,230615785,9,2,4
2,2023-10-03 00:00:00,2023-10-02 00:00:00,2300,11,1125,"0605 3004 3026 3029 3033 3037 3101 4024 3401 3701",32,"F","H",101,231114112,10,23,1
2,2023-10-02 00:00:00,2023-10-02 00:00:00,705,7,713,"3003 3029 4027 3101 3026 3035 3037 3401 3701 1218",43,"M","H",103,230715290,10,7,0
1,2023-10-03 00:00:00,2023-10-01 00:00:00,2100,5,557,"4005 3004 3026 3030 3101 3037",25,"M","H",101,230514224,10,21,2
3,2023-10-04 00:00:00,2023-10-03 00:00:00,830,18,1891,"3008 3025 4025 3029",14,"M","H",101,231817394,10,8,1
1,2023-10-02 00:00:00,2023-10-01 00:00:00,2350,3,396,"3004 3026 4003 3029 3037",56,"M","B",101,230317437,10,23,1
7,2023-08-26 00:00:00,2023-08-26 00:00:00,1445,18,1829,"3028 4018 3030 3006",30,"F","H",101,231815553,8,14,0
6,2023-10-06 00:00:00,2023-10-06 00:00:00,2230,1,185,"3401 3701 0605 3004 3028 3033 3034 3036 3101 4024",39,"M","B",101,230121302,10,22,0
5,2023-10-06 00:00:00,2023-10-05 00:00:00,2212,9,914,"3101 3006 3028 4009 3030 3037",41,"F","O",101,230914949,10,22,1
7,2023-10-07 00:00:00,2023-10-07 00:00:00,420,11,1144,"3101 3401 3701 3037 3028 0605 3011 3026 3034 4011",99,"X","X",101,231114245,10,4,0
1,2023-10-02 00:00:00,2023-10-01 00:00:00,1730,6,637,"3004 3025 3035 3037 3101 3401 3701 4006 3029",60,"F","H",101,230615967,10,17,1
6,2023-09-30 00:00:00,2023-09-29 00:00:00,2035,16,1665,"3004 3025 4026 3034 3101",56,"M","H",101,231612593,9,20,1
5,2023-09-28 00:00:00,2023-09-28 00:00:00,1205,5,521,"3004 3024 4025 3602",84,"M","O",101,230514061,9,12,0
5,2023-09-28 00:00:00,2023-09-28 00:00:00,1334,7,752,"3004 3034 3037 4027 3027 3038 3101 3401 3701",88,"M","W",101,230715160,9,13,0
5,2023-09-28 00:00:00,2023-09-28 00:00:00,1415,11,1162,"0605 3028 3030 3037 3039 3101 4024 3401 3701 3004",29,"F","W",108,231113974,9,14,0
2,2023-10-03 00:00:00,2023-10-02 00:00:00,605,1,182,"0605 3004 3028 3030 3033 3037 3101 4001 3401 3701",27,"M","H",101,230121040,10,6,1
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1150,16,1619,"3004 3028 4026 3033 3034 3037",26,"F","W",101,231612676,10,11,0
5,2023-10-05 00:00:00,2023-10-05 00:00:00,1240,7,785,"4027 3004 3026 3034 3037 3101 3401 3701",73,"F","H",101,230715411,10,12,0
4,2023-10-04 00:00:00,2023-10-04 00:00:00,1025,8,807,"3035 3037 3101 3401 3701 3003 3024 4027",44,"M","W",101,230815239,10,10,0
3,2023-10-04 00:00:00,2023-10-03 00:00:00,2135,1,162,"3011 0605 3024 3033 3035 3036 3101 4024 3401 3701",51,"M","O",101,230121108,10,21,1
5,2023-10-05 00:00:00,2023-10-05 00:00:00,220,8,859,"4008 3006 3026 3038",57,"M","B",101,230815271,10,2,0
7,2023-09-30 00:00:00,2023-09-30 00:00:00,1355,17,1705,"3011 3028 4026 3034 3037 3101",54,"M","W",101,231715877,9,13,0
1,2023-10-01 00:00:00,2023-10-01 00:00:00,45,13,1394,"4013 3036 3026 3029 3101 0605 3401 3701 3004 3033",21,"M","H",101,231318150,10,0,0
3,2023-10-03 00:00:00,2023-10-03 00:00:00,1510,2,212,"0605 4024",40,"M","H",101,230218503,10,15,0
2,2023-09-14 00:00:00,2023-09-11 00:00:00,1720,11,1151,"0605 3030 4024",39,"M","F",101,231114123,9,17,3
7,2023-08-28 00:00:00,2023-08-26 00:00:00,1955,5,541,"3011 3025 3034 4025",40,"M","O",101,230512769,8,19,2
7,2023-09-30 00:00:00,2023-09-30 00:00:00,835,19,1991,"3004 3026 4026 3029 3036 3101",62,"M","H",101,231914766,9,8,0
4,2023-10-04 00:00:00,2023-10-04 00:00:00,2040,10,1015,"3028 4026 3034 3037 3006 3101",50,"M","H",101,231014433,10,20,0
2,2023-09-19 00:00:00,2023-09-18 00:00:00,1915,1,152,"0605 3009 3025 3029 3033 3037 3101 4024 3401 3701",20,"M","B",101,230120115,9,19,1
6,2023-09-29 00:00:00,2023-09-29 00:00:00,1340,1,192,"0605 4024 3030",64,"M","W",101,230120812,9,13,0
2,2023-10-03 00:00:00,2023-10-02 00:00:00,2000,15,1503,"3011 3028 4015 3030 3037 3101",22,"M","O",102,231515621,10,20,1
5,2023-10-06 00:00:00,2023-10-05 00:00:00,1530,3,336,"3016 3025 3029 4025",13,"M","H",101,230317631,10,15,1
6,2023-09-29 00:00:00,2023-09-29 00:00:00,800,8,826,"3004 3026 4027 3035 3037 3101 3401 3701",58,"M","W",101,230815057,9,8,0
1,2023-10-01 00:00:00,2023-10-01 00:00:00,235,13,1323,"3401 3701 3033 0605 3004 3028 3034 3036 3101 4024",43,"F","H",101,231318149,10,2,0
1,2023-10-01 00:00:00,2023-10-01 00:00:00,1530,2,246,"0605 3024 3036 3064 3101 4024 3401 3701 0947 3033",39,"M","O",101,230218350,10,15,0
3,2023-10-04 00:00:00,2023-10-03 00:00:00,1905,1,192,"0605 3003 3025 3029 3033 3037 3101 4024 3401 3701",68,"F","H",101,230121107,10,19,1
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1200,4,449,"0605 3006 3028 3034 4024 3101 3401 3701 3037 3033",30,"M","H",101,230412999,10,12,0
1,2023-10-02 00:00:00,2023-10-01 00:00:00,2350,19,1913,"3011 4019 3039 3028 3101",22,"F","H",101,231914833,10,23,1
1,2023-10-02 00:00:00,2023-10-01 00:00:00,2323,11,1122,"0605 3011 3028 3033 3034 3101 4024 3401 3701 3037",20,"M","B",101,231114062,10,23,1
2,2023-09-25 00:00:00,2023-09-25 00:00:00,1105,14,1443,"3004 3026 4027 3035 3037 3101 3401 3701",55,"M","H",101,231417776,9,11,0
1,2023-10-03 00:00:00,2023-10-01 00:00:00,20,15,1591,"3011 3028 4026 3034 3037 3030 3101",39,"M","A",101,231515631,10,0,2
4,2023-10-05 00:00:00,2023-10-04 00:00:00,1730,12,1259,"3012 3028 3034 4025",34,"M","B",101,231220738,10,17,1
6,2023-10-03 00:00:00,2023-09-15 00:00:00,1350,14,1472,"4027 3006 3028 3030",59,"F","W",101,231418200,9,13,18
7,2023-09-30 00:00:00,2023-09-30 00:00:00,1410,18,1802,"3004 3026 4018 3029",40,"F","H",101,231817183,9,14,0
5,2023-10-05 00:00:00,2023-10-05 00:00:00,810,16,1678,"3004 3026 4026 3029 3037 3101",45,"M","H",101,231612746,10,8,0
6,2023-09-29 00:00:00,2023-09-29 00:00:00,1255,6,647,"3006 3028 3034 4027 3002 3037 3103 3401 3701",49,"M","H",101,230615877,9,12,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1455,7,743,"3009 3025 3029 4027 3035 3036 3101 3401 3701",58,"M","W",101,230715298,10,14,0
1,2023-10-02 00:00:00,2023-10-01 00:00:00,2130,6,663,"3028 4027 3006 3034 3037 3101 3401 3701",34,"F","H",101,230615966,10,21,1
6,2023-10-04 00:00:00,2023-09-29 00:00:00,2245,13,1321,"0605 3101 3401 3701 4013 3004 3036 3026 3033 3035",18,"F","B",101,231318201,9,22,5
3,2023-10-03 00:00:00,2023-10-03 00:00:00,1145,13,1333,"4024 3037 3028 3011 3034 3101 3030 0605 3401 3701",22,"X","X",108,231318270,10,11,0
7,2023-09-30 00:00:00,2023-09-30 00:00:00,1100,15,1546,"3004 3028 4015 3034 3037 3101",64,"M","B",110,231515493,9,11,0
6,2023-09-30 00:00:00,2023-09-29 00:00:00,1740,15,1505,"3028 4015 3034 3004 3101",21,"F","H",101,231515524,9,17,1
1,2023-09-24 00:00:00,2023-09-24 00:00:00,2200,8,851,"1402 3006 3028 3035 3037 3101 3401 3701 4008 3030",53,"F","H",101,230814840,9,22,0
6,2023-09-08 00:00:00,2023-09-08 00:00:00,1450,11,1162,"0605 3030 4024",26,"M","H",101,231114124,9,14,0
2,2023-09-25 00:00:00,2023-09-25 00:00:00,145,4,453,"0605 3028 3030 3033 3101 4024 3401 3701 3006 3036",40,"M","H",101,230412753,9,1,0
3,2023-10-03 00:00:00,2023-09-26 00:00:00,802,21,2111,"3004 3028 4021 3029 3036 3101",28,"M","B",101,232114839,9,8,7
3,2023-10-04 00:00:00,2023-01-03 00:00:00,1300,6,676,"3003 3026 3029 4027 3032 3035 3037 3101 3401 3701",37,"F","O",101,230616077,1,13,274
3,2023-09-26 00:00:00,2023-09-26 00:00:00,2025,4,466,"0605 3011 3028 3030 3034 3037 3101 4024 3401 3701",25,"M","O",102,230412822,9,20,0
5,2023-07-27 00:00:00,2023-07-27 00:00:00,200,18,1801,"3004 3028 3030",22,"M","H",101,231817369,7,2,0
5,2023-10-04 00:00:00,2023-08-31 00:00:00,1735,8,886,"3035 3037 3101 3401 3701 4027 3004 3026 3029",36,"F","W",101,230815233,8,17,34
7,2023-09-30 00:00:00,2023-09-30 00:00:00,1605,20,2029,"3004 3037 3039 3101 4024 3026 3035 3401 3701",50,"M","W",101,232016000,9,16,0
5,2023-09-26 00:00:00,2023-08-31 00:00:00,1230,13,1395,"0605 4024 3030",40,"F","H",101,231317914,8,12,26
4,2023-10-05 00:00:00,2023-10-04 00:00:00,2210,10,1025,"3004 3026 4026 3029 3101",66,"M","B",101,231014434,10,22,1
6,2023-09-30 00:00:00,2023-09-29 00:00:00,120,12,1273,"3008 3027 4025 1218",53,"M","B",101,231220458,9,1,1
4,2023-09-27 00:00:00,2023-09-27 00:00:00,825,8,855,"3004 3028 4027 3034 3033 3037 3101 3401 3701",23,"M","O",101,230814965,9,8,0
2,2023-09-25 00:00:00,2023-09-25 00:00:00,955,11,1127,"0605 3004 3028 3030 4024 3101 3401 3701 3036 3033",47,"M","H",101,231113823,9,9,0
2,2023-10-02 00:00:00,2023-10-02 00:00:00,1245,10,1041,"3006 3028 4026 3034",50,"F","W",101,231014350,10,12,0
4,2023-10-06 00:00:00,2023-10-04 00:00:00,2130,3,316,"3004 3029 3030 4003",24,"M","H",101,230317630,10,21,2
1,2023-09-24 00:00:00,2023-09-24 00:00:00,1430,16,1685,"3006 3028 3030 3101 4016",62,"F","H",101,231612448,9,14,0
5,2023-09-30 00:00:00,2023-09-28 00:00:00,1820,6,638,"3004 3026 3029 3036 4027 3033 3035 3101 3401 3701",63,"F","W",101,230615902,9,18,2
1,2023-10-01 00:00:00,2023-10-01 00:00:00,300,2,269,"4002 3037 3011 3034 3028 3101 0605 3401 3701 3033",22,"X","X",101,230218330,10,3,0
7,2023-10-01 00:00:00,2023-09-30 00:00:00,1655,11,1177,"0605 3004 3028 3033 3036 3039 3101 4011 3401 3701",41,"M","H",101,231114031,9,16,1
